step,reward
1000,-1067.9026904689997
2000,-1034.8969102106248
3000,-1109.6887701884375
4000,-964.1356408812974
5000,-1117.84125947504
6000,-1047.935842478014
7000,-858.904196095592
8000,-969.3627547295641
9000,-1118.648984492986
10000,-909.3012365090661
11000,-933.7085506319459
12000,-932.8852263297778
13000,-989.0202583982554
14000,-922.6659484719387
15000,-915.239223802125
16000,-925.4159122637865
17000,-1059.5676969418575
18000,-895.3860740262669
19000,-1012.3993225558119
20000,-935.0894435490122
21000,-862.9791132341705
22000,-944.0407138910994
23000,-967.4489030939063
24000,-837.6024810081809
25000,-888.6032658422196
26000,-871.7257433291622
27000,-882.3686371997211
28000,-901.9193804400618
29000,-902.4733714905996
30000,-836.5054837922696
31000,-887.9003704966697
32000,-926.0501721390702
33000,-807.2092126102253
34000,-929.1022517228336
35000,-841.7291672825279
36000,-858.717351505031
37000,-869.6313717134145
38000,-756.6424940898432
39000,-736.7080419980131
40000,-790.6803427332842
41000,-780.3094441255398
42000,-817.064663571524
43000,-765.8411539069157
44000,-910.1163259578167
45000,-785.853546197767
46000,-1046.7305314739533
47000,-683.8666960583848
48000,-767.9681940515112
49000,-765.8639066110399
50000,-765.2235957607569
51000,-796.7499849392425
52000,-847.4433814349785
53000,-897.2417090518148
54000,-870.0145387270687
55000,-802.0711485879986
56000,-712.6900567000292
57000,-759.0104274087549
58000,-828.1886201657953
59000,-709.4831147075134
60000,-746.8366925488509
61000,-768.9133712974027
62000,-728.6153458352304
63000,-749.0492879001222
64000,-606.2298479588334
65000,-669.5377994048547
66000,-652.4522318981917
67000,-771.659564651208
68000,-743.2918241801958
69000,-689.031049245859
70000,-644.6456544966923
71000,-667.0984507221553
72000,-730.752709608034
73000,-583.5892843333211
74000,-708.9081628184055
75000,-734.2120011044435
76000,-684.568496618523
77000,-756.0177143224424
78000,-610.6488924180757
79000,-631.3468132695239
80000,-620.740651668496
81000,-660.9152573847766
82000,-642.3099484277585
83000,-588.6037968660922
84000,-744.6118469121616
85000,-701.5200213861165
86000,-645.9006791645123
87000,-716.2304984748704
88000,-662.7664521529895
89000,-658.9937373609624
90000,-626.9753912585032
91000,-594.5515269831358
92000,-494.19336674067796
93000,-611.8875928733542
94000,-568.9499097290718
95000,-648.7190833418028
96000,-806.9465727836856
97000,-591.2961497724576
98000,-547.2245307951063
99000,-700.7938100581722
100000,-418.77316553629055
101000,-699.1327388419725
102000,-508.7109538272567
103000,-647.4736582877326
104000,-571.4165530790325
105000,-579.4807723359655
106000,-623.1783001303414
107000,-634.950146014289
108000,-610.4345060667572
109000,-573.4432164626311
110000,-556.4666758201505
111000,-584.7181662631425
112000,-595.657834137529
113000,-588.0007562165432
114000,-531.5023838366909
115000,-525.9379260614533
116000,-524.4490347216014
117000,-606.5525075446818
118000,-644.6721780583892
119000,-504.38455947644735
120000,-545.2141323203114
121000,-664.0920993750716
122000,-587.1679757064344
123000,-492.6523623991507
124000,-548.444325994196
125000,-550.0657651990289
126000,-564.9528554909213
127000,-582.3639364386
128000,-551.5810104852123
129000,-568.0684487971213
130000,-490.30483843100956
131000,-530.5445440699408
132000,-514.8619583144255
133000,-534.2175835764925
134000,-549.5398293597176
135000,-453.4801341060621
136000,-563.7624788475064
137000,-445.78136595179143
138000,-438.40423520438964
139000,-502.7136861579266
140000,-679.4196425466243
141000,-573.0518945122234
142000,-436.0878628372625
143000,-435.8238850042777
144000,-504.35442575326795
145000,-327.1318970113628
146000,-376.81530052337393
147000,-428.8128662683348
148000,-486.02831092540714
149000,-460.61259157355414
150000,-526.7433163750358
151000,-518.8166523697518
152000,-491.68793226476174
153000,-421.3306333200939
154000,-413.63950899041794
155000,-464.06117315086146
156000,-419.41792865331
