step,reward
1000,-2694.0
2000,-2493.0
3000,-2661.0
4000,-2655.0
5000,-2571.0
6000,-2547.0
7000,-2502.0
8000,-2538.0
9000,-2571.0
10000,-2382.0
11000,-2460.0
12000,-2568.0
13000,-2436.0
14000,-2448.0
15000,-2394.0
16000,-2328.0
17000,-2430.0
18000,-2331.0
19000,-2466.0
20000,-2319.0
21000,-2358.0
22000,-2334.0
23000,-2385.0
24000,-2379.0
25000,-2088.0
26000,-2337.0
27000,-2307.0
28000,-2322.0
29000,-2421.0
30000,-2361.0
31000,-2205.0
32000,-2319.0
33000,-2271.0
34000,-2193.0
35000,-2151.0
36000,-2262.0
37000,-2325.0
38000,-2319.0
39000,-2181.0
40000,-2265.0
41000,-2274.0
42000,-2226.0
43000,-2202.0
44000,-2226.0
45000,-2154.0
46000,-2193.0
47000,-2166.0
48000,-2142.0
49000,-2199.0
50000,-2088.0
51000,-2097.0
52000,-2136.0
53000,-2229.0
54000,-2130.0
55000,-2112.0
56000,-2157.0
57000,-2172.0
58000,-2157.0
59000,-1983.0
60000,-2286.0
61000,-2148.0
62000,-2079.0
63000,-2094.0
64000,-1983.0
65000,-2013.0
66000,-2259.0
67000,-1842.0
68000,-2097.0
69000,-2088.0
70000,-2040.0
71000,-2031.0
72000,-1926.0
73000,-1950.0
74000,-1950.0
75000,-1974.0
76000,-1803.0
77000,-1956.0
78000,-1968.0
79000,-2085.0
80000,-1848.0
81000,-2127.0
82000,-1962.0
83000,-1923.0
84000,-1950.0
85000,-1911.0
86000,-1965.0
87000,-1944.0
88000,-1995.0
89000,-1899.0
90000,-1812.0
91000,-1962.0
92000,-1866.0
93000,-1926.0
94000,-1914.0
95000,-1914.0
96000,-1884.0
97000,-1860.0
98000,-1902.0
99000,-1836.0
100000,-1710.0
101000,-1890.0
102000,-1815.0
103000,-1890.0
104000,-1932.0
105000,-1713.0
106000,-1755.0
107000,-1800.0
108000,-2022.0
109000,-1824.0
110000,-1782.0
111000,-1740.0
112000,-1803.0
113000,-1770.0
114000,-1845.0
115000,-1842.0
116000,-1758.0
117000,-1839.0
118000,-1716.0
119000,-1725.0
120000,-1866.0
121000,-1638.0
122000,-1680.0
123000,-1746.0
124000,-1764.0
125000,-1731.0
126000,-1734.0
127000,-1803.0
128000,-1686.0
129000,-1773.0
130000,-1611.0
131000,-1566.0
132000,-1854.0
133000,-1632.0
134000,-1605.0
135000,-1539.0
136000,-1797.0
137000,-1686.0
138000,-1725.0
139000,-1608.0
140000,-1650.0
141000,-1536.0
142000,-1728.0
143000,-1551.0
144000,-1689.0
145000,-1677.0
146000,-1659.0
147000,-1536.0
148000,-1641.0
149000,-1581.0
150000,-1671.0
151000,-1635.0
152000,-1650.0
153000,-1620.0
154000,-1620.0
155000,-1527.0
156000,-1566.0
157000,-1623.0
158000,-1530.0
159000,-1557.0
160000,-1536.0
161000,-1395.0
162000,-1551.0
163000,-1407.0
164000,-1518.0
165000,-1461.0
166000,-1374.0
167000,-1605.0
168000,-1467.0
169000,-1563.0
170000,-1524.0
171000,-1395.0
172000,-1311.0
173000,-1512.0
174000,-1455.0
175000,-1464.0
176000,-1380.0
177000,-1389.0
178000,-1368.0
179000,-1374.0
180000,-1410.0
181000,-1278.0
182000,-1239.0
183000,-1311.0
184000,-1278.0
185000,-1332.0
