step,reward
1000,-2042.0
2000,-2054.0
3000,-2174.0
4000,-1960.0
5000,-1924.0
6000,-2086.0
7000,-1782.0
8000,-2080.0
9000,-1930.0
10000,-1884.0
11000,-1796.0
12000,-1914.0
13000,-1894.0
14000,-1776.0
15000,-1800.0
16000,-1820.0
17000,-1894.0
18000,-1794.0
19000,-1972.0
20000,-1798.0
21000,-1788.0
22000,-1688.0
23000,-1764.0
24000,-1754.0
25000,-1790.0
26000,-1752.0
27000,-1774.0
28000,-1668.0
29000,-1858.0
30000,-1690.0
31000,-1724.0
32000,-1676.0
33000,-1782.0
34000,-1670.0
35000,-1702.0
36000,-1630.0
37000,-1700.0
38000,-1628.0
39000,-1780.0
40000,-1692.0
41000,-1696.0
42000,-1672.0
43000,-1692.0
44000,-1792.0
45000,-1774.0
46000,-1714.0
47000,-1724.0
48000,-1758.0
49000,-1642.0
50000,-1634.0
51000,-1632.0
52000,-1638.0
53000,-1730.0
54000,-1672.0
55000,-1766.0
56000,-1600.0
57000,-1752.0
58000,-1672.0
59000,-1552.0
60000,-1746.0
61000,-1592.0
62000,-1556.0
63000,-1720.0
64000,-1660.0
65000,-1564.0
66000,-1678.0
67000,-1694.0
68000,-1654.0
69000,-1630.0
70000,-1614.0
71000,-1682.0
72000,-1680.0
73000,-1674.0
74000,-1606.0
75000,-1536.0
76000,-1588.0
77000,-1556.0
78000,-1722.0
79000,-1534.0
80000,-1666.0
81000,-1686.0
82000,-1582.0
83000,-1564.0
84000,-1636.0
85000,-1636.0
86000,-1578.0
87000,-1624.0
88000,-1510.0
89000,-1544.0
90000,-1586.0
91000,-1544.0
92000,-1530.0
93000,-1530.0
94000,-1510.0
95000,-1684.0
96000,-1550.0
97000,-1654.0
98000,-1544.0
99000,-1458.0
100000,-1518.0
101000,-1644.0
102000,-1678.0
103000,-1692.0
104000,-1608.0
105000,-1582.0
106000,-1632.0
107000,-1670.0
108000,-1748.0
109000,-1606.0
110000,-1556.0
111000,-1560.0
112000,-1434.0
113000,-1628.0
114000,-1596.0
115000,-1444.0
116000,-1488.0
117000,-1638.0
118000,-1574.0
119000,-1618.0
120000,-1612.0
121000,-1500.0
122000,-1528.0
123000,-1548.0
124000,-1640.0
125000,-1590.0
126000,-1632.0
127000,-1558.0
128000,-1560.0
129000,-1510.0
130000,-1514.0
131000,-1542.0
132000,-1532.0
133000,-1616.0
134000,-1554.0
135000,-1542.0
136000,-1550.0
137000,-1578.0
138000,-1648.0
139000,-1446.0
140000,-1496.0
141000,-1570.0
142000,-1570.0
143000,-1434.0
144000,-1566.0
145000,-1522.0
146000,-1366.0
147000,-1458.0
148000,-1418.0
149000,-1498.0
150000,-1512.0
151000,-1538.0
152000,-1448.0
153000,-1610.0
154000,-1474.0
155000,-1514.0
156000,-1444.0
157000,-1350.0
158000,-1542.0
159000,-1476.0
160000,-1454.0
161000,-1376.0
162000,-1432.0
163000,-1486.0
164000,-1452.0
165000,-1530.0
166000,-1428.0
167000,-1380.0
168000,-1438.0
169000,-1466.0
170000,-1546.0
171000,-1408.0
172000,-1548.0
173000,-1542.0
174000,-1510.0
175000,-1512.0
176000,-1506.0
177000,-1550.0
178000,-1484.0
179000,-1508.0
180000,-1460.0
181000,-1488.0
182000,-1540.0
183000,-1498.0
