step,reward
1000,-1882.0
2000,-2096.0
3000,-2192.0
4000,-2080.0
5000,-2080.0
6000,-2074.0
7000,-1976.0
8000,-1978.0
9000,-1914.0
10000,-1974.0
11000,-2052.0
12000,-1948.0
13000,-2012.0
14000,-1972.0
15000,-1962.0
16000,-1880.0
17000,-1874.0
18000,-2020.0
19000,-1926.0
20000,-2002.0
21000,-2000.0
22000,-1802.0
23000,-1952.0
24000,-2066.0
25000,-1926.0
26000,-2048.0
27000,-1964.0
28000,-1782.0
29000,-1932.0
30000,-1812.0
31000,-2006.0
32000,-2020.0
33000,-1932.0
34000,-1956.0
35000,-1954.0
36000,-1912.0
37000,-1986.0
38000,-1938.0
39000,-1976.0
40000,-1900.0
41000,-1896.0
42000,-1992.0
43000,-1864.0
44000,-1856.0
45000,-1834.0
46000,-1956.0
47000,-1896.0
48000,-1834.0
49000,-1834.0
50000,-1882.0
51000,-1868.0
52000,-1830.0
53000,-1834.0
54000,-2024.0
55000,-1870.0
56000,-1884.0
57000,-1876.0
58000,-1882.0
59000,-1728.0
60000,-1824.0
61000,-1898.0
62000,-1730.0
63000,-1830.0
64000,-1802.0
65000,-1642.0
66000,-1794.0
67000,-1828.0
68000,-1748.0
69000,-1876.0
70000,-1814.0
71000,-1850.0
72000,-1860.0
73000,-1788.0
74000,-1820.0
75000,-1826.0
76000,-1840.0
77000,-1808.0
78000,-1832.0
79000,-1848.0
80000,-1758.0
81000,-1770.0
82000,-1942.0
83000,-1926.0
84000,-1774.0
85000,-1808.0
86000,-1776.0
87000,-1814.0
88000,-1808.0
89000,-1836.0
90000,-1712.0
91000,-1764.0
92000,-1724.0
93000,-1828.0
94000,-1588.0
95000,-1832.0
96000,-1766.0
97000,-1762.0
98000,-1706.0
99000,-1758.0
100000,-1812.0
101000,-1820.0
102000,-1772.0
103000,-1744.0
104000,-1826.0
105000,-1824.0
106000,-1774.0
107000,-1664.0
108000,-1748.0
109000,-1558.0
110000,-1752.0
111000,-1680.0
112000,-1758.0
113000,-1800.0
114000,-1722.0
115000,-1858.0
116000,-1632.0
117000,-1662.0
118000,-1784.0
119000,-1782.0
120000,-1704.0
121000,-1682.0
122000,-1744.0
123000,-1750.0
124000,-1700.0
125000,-1852.0
126000,-1708.0
127000,-1640.0
128000,-1700.0
129000,-1760.0
130000,-1730.0
131000,-1822.0
132000,-1742.0
