step,reward
1000,-1632.0
2000,-1479.0
3000,-1447.0
4000,-1318.0
5000,-1489.0
6000,-1514.0
7000,-1364.0
8000,-1398.0
9000,-1403.0
10000,-1324.0
11000,-1319.0
12000,-1212.0
13000,-1146.0
14000,-1260.0
15000,-1295.0
16000,-1312.0
17000,-1162.0
18000,-1199.0
19000,-1189.0
20000,-1125.0
21000,-1192.0
22000,-1153.0
23000,-1146.0
24000,-1208.0
25000,-1066.0
26000,-1053.0
27000,-1065.0
28000,-1018.0
29000,-1121.0
30000,-982.0
31000,-1096.0
32000,-1001.0
33000,-1038.0
34000,-1006.0
35000,-1153.0
36000,-1064.0
37000,-901.0
38000,-1058.0
39000,-1000.0
40000,-993.0
41000,-857.0
42000,-922.0
43000,-1028.0
44000,-1060.0
45000,-930.0
46000,-934.0
47000,-1045.0
48000,-906.0
49000,-929.0
50000,-901.0
51000,-832.0
52000,-894.0
53000,-987.0
54000,-857.0
55000,-1034.0
56000,-825.0
57000,-924.0
58000,-888.0
59000,-978.0
60000,-807.0
61000,-903.0
62000,-900.0
63000,-850.0
64000,-876.0
65000,-860.0
66000,-825.0
67000,-916.0
68000,-808.0
69000,-868.0
70000,-814.0
71000,-868.0
72000,-832.0
73000,-783.0
74000,-827.0
75000,-773.0
76000,-839.0
77000,-819.0
78000,-732.0
79000,-763.0
80000,-809.0
81000,-770.0
82000,-733.0
83000,-764.0
84000,-741.0
85000,-673.0
86000,-722.0
87000,-694.0
88000,-748.0
89000,-690.0
90000,-783.0
91000,-765.0
92000,-640.0
93000,-646.0
94000,-677.0
95000,-568.0
96000,-683.0
97000,-634.0
98000,-635.0
99000,-606.0
100000,-631.0
101000,-615.0
102000,-592.0
103000,-535.0
104000,-608.0
105000,-677.0
106000,-597.0
107000,-621.0
108000,-496.0
109000,-545.0
110000,-473.0
111000,-501.0
112000,-507.0
113000,-508.0
114000,-549.0
115000,-533.0
116000,-476.0
117000,-391.0
118000,-537.0
119000,-438.0
120000,-390.0
121000,-580.0
122000,-397.0
123000,-444.0
124000,-367.0
125000,-362.0
126000,-431.0
127000,-439.0
128000,-476.0
129000,-389.0
130000,-362.0
131000,-414.0
132000,-371.0
133000,-512.0
134000,-320.0
135000,-316.0
136000,-283.0
137000,-447.0
138000,-347.0
139000,-325.0
140000,-305.0
141000,-423.0
142000,-341.0
143000,-264.0
144000,-362.0
145000,-283.0
146000,-305.0
147000,-123.0
148000,-120.0
149000,-149.0
150000,-112.0
151000,-108.0
152000,-86.0
153000,-192.0
154000,-196.0
155000,-186.0
156000,-355.0
157000,-133.0
158000,-38.0
159000,-75.0
160000,49.0
161000,-9.0
162000,-34.0
163000,-103.0
164000,-52.0
165000,29.0
166000,80.0
167000,31.0
168000,-135.0
169000,217.0
170000,97.0
171000,-476.0
172000,35.0
173000,132.0
174000,85.0
175000,73.0
176000,-25.0
177000,84.0
178000,113.0
179000,168.0
180000,144.0
181000,49.0
182000,233.0
183000,-44.0
184000,254.0
185000,147.0
186000,255.0
187000,166.0
188000,141.0
189000,-31.0
190000,118.0
191000,304.0
192000,296.0
193000,-18.0
194000,216.0
195000,261.0
196000,183.0
197000,137.0
198000,147.0
199000,303.0
200000,215.0
201000,185.0
202000,229.0
203000,235.0
204000,240.0
205000,174.0
206000,285.0
207000,91.0
208000,385.0
209000,352.0
210000,315.0
211000,259.0
212000,34.0
213000,239.0
214000,223.0
215000,199.0
216000,372.0
217000,259.0
218000,214.0
219000,250.0
220000,164.0
221000,383.0
222000,107.0
223000,142.0
224000,186.0
225000,363.0
226000,176.0
227000,227.0
228000,338.0
229000,322.0
230000,428.0
231000,353.0
232000,284.0
233000,69.0
234000,414.0
235000,437.0
236000,322.0
237000,226.0
238000,340.0
239000,322.0
240000,276.0
241000,386.0
242000,257.0
243000,112.0
244000,141.0
245000,293.0
246000,409.0
247000,264.0
248000,351.0
249000,366.0
250000,249.0
251000,54.0
252000,385.0
253000,422.0
254000,338.0
255000,282.0
256000,349.0
257000,338.0
258000,435.0
259000,397.0
260000,296.0
261000,380.0
262000,425.0
263000,418.0
264000,390.0
265000,385.0
266000,392.0
267000,508.0
268000,378.0
269000,324.0
270000,421.0
271000,387.0
272000,334.0
273000,312.0
274000,380.0
275000,376.0
276000,149.0
277000,337.0
278000,381.0
279000,307.0
280000,400.0
281000,391.0
282000,130.0
283000,535.0
284000,488.0
285000,150.0
286000,449.0
287000,371.0
288000,407.0
289000,484.0
290000,247.0
291000,504.0
292000,277.0
293000,412.0
294000,514.0
295000,403.0
296000,459.0
297000,465.0
298000,316.0
299000,433.0
300000,293.0
301000,285.0
302000,459.0
303000,239.0
304000,357.0
305000,470.0
306000,353.0
307000,383.0
308000,448.0
309000,351.0
310000,403.0
311000,410.0
312000,425.0
313000,303.0
314000,281.0
315000,448.0
316000,397.0
317000,442.0
318000,409.0
319000,252.0
320000,365.0
321000,468.0
322000,477.0
323000,486.0
324000,541.0
325000,447.0
326000,378.0
327000,519.0
328000,401.0
329000,379.0
330000,263.0
331000,352.0
332000,531.0
333000,458.0
334000,480.0
335000,551.0
336000,639.0
337000,587.0
338000,551.0
339000,550.0
340000,498.0
341000,422.0
342000,266.0
343000,563.0
344000,440.0
345000,447.0
346000,428.0
347000,443.0
348000,426.0
349000,410.0
350000,521.0
351000,502.0
352000,548.0
353000,576.0
354000,409.0
355000,495.0
356000,728.0
357000,365.0
358000,928.0
359000,430.0
360000,787.0
361000,401.0
362000,223.0
363000,567.0
364000,717.0
365000,776.0
366000,611.0
367000,765.0
368000,586.0
369000,859.0
370000,519.0
371000,902.0
372000,463.0
373000,805.0
374000,825.0
375000,1144.0
376000,1088.0
377000,1115.0
378000,809.0
379000,473.0
380000,528.0
381000,1154.0
382000,886.0
383000,426.0
384000,1063.0
385000,803.0
386000,1281.0
387000,847.0
388000,1204.0
389000,590.0
390000,1083.0
391000,617.0
392000,462.0
393000,1012.0
394000,569.0
395000,609.0
396000,992.0
397000,455.0
398000,954.0
399000,798.0
400000,922.0
401000,1108.0
402000,1123.0
403000,470.0
404000,1369.0
405000,1202.0
406000,931.0
407000,963.0
408000,1413.0
409000,1062.0
410000,1141.0
411000,1292.0
412000,1192.0
413000,1267.0
414000,1253.0
415000,1442.0
416000,556.0
417000,1039.0
418000,1378.0
419000,1389.0
420000,1228.0
421000,1231.0
422000,1439.0
423000,1056.0
424000,1434.0
425000,1352.0
426000,1441.0
427000,1513.0
428000,1158.0
429000,1241.0
430000,1471.0
431000,1535.0
432000,1302.0
433000,1471.0
434000,1621.0
435000,1373.0
436000,1203.0
437000,1682.0
438000,1687.0
439000,1678.0
440000,1721.0
441000,1803.0
442000,1311.0
443000,1480.0
444000,1490.0
445000,1636.0
446000,1444.0
447000,1531.0
448000,1517.0
449000,1580.0
450000,1220.0
451000,1213.0
452000,1260.0
