step,reward
1000,-1530.0
2000,-1534.0
3000,-1502.0
4000,-1581.0
5000,-1437.0
6000,-1316.0
7000,-1501.0
8000,-1394.0
9000,-1277.0
10000,-1382.0
11000,-1259.0
12000,-1301.0
13000,-1266.0
14000,-1312.0
15000,-1118.0
16000,-1286.0
17000,-1034.0
18000,-1134.0
19000,-1243.0
20000,-1266.0
21000,-1128.0
22000,-1148.0
23000,-1102.0
24000,-1100.0
25000,-1071.0
26000,-1084.0
27000,-1061.0
28000,-1241.0
29000,-1052.0
30000,-1044.0
31000,-1111.0
32000,-1026.0
33000,-1009.0
34000,-1041.0
35000,-1059.0
36000,-1040.0
37000,-993.0
38000,-1085.0
39000,-1032.0
40000,-963.0
41000,-929.0
42000,-923.0
43000,-1022.0
44000,-944.0
45000,-974.0
46000,-1038.0
47000,-917.0
48000,-1009.0
49000,-982.0
50000,-943.0
51000,-1005.0
52000,-1039.0
53000,-868.0
54000,-900.0
55000,-825.0
56000,-939.0
57000,-926.0
58000,-857.0
59000,-891.0
60000,-881.0
61000,-841.0
62000,-880.0
63000,-830.0
64000,-856.0
65000,-894.0
66000,-893.0
67000,-800.0
68000,-1001.0
69000,-798.0
70000,-809.0
71000,-858.0
72000,-740.0
73000,-746.0
74000,-713.0
75000,-745.0
76000,-796.0
77000,-704.0
78000,-709.0
79000,-790.0
80000,-747.0
81000,-722.0
82000,-800.0
83000,-712.0
84000,-752.0
85000,-772.0
86000,-712.0
87000,-804.0
88000,-723.0
89000,-715.0
90000,-678.0
91000,-681.0
92000,-641.0
93000,-627.0
94000,-673.0
95000,-615.0
96000,-741.0
97000,-674.0
98000,-802.0
99000,-625.0
100000,-628.0
101000,-626.0
102000,-609.0
103000,-873.0
104000,-657.0
105000,-546.0
106000,-511.0
107000,-591.0
108000,-567.0
109000,-629.0
110000,-612.0
111000,-602.0
112000,-483.0
113000,-513.0
114000,-448.0
115000,-505.0
116000,-480.0
117000,-417.0
118000,-414.0
119000,-510.0
120000,-440.0
121000,-469.0
122000,-480.0
123000,-402.0
124000,-322.0
125000,-406.0
126000,-343.0
127000,-523.0
128000,-372.0
129000,-364.0
130000,-392.0
131000,-347.0
132000,-313.0
133000,-350.0
134000,-287.0
135000,-332.0
136000,-253.0
137000,-215.0
138000,-197.0
139000,-224.0
140000,-174.0
141000,-166.0
142000,-273.0
143000,-151.0
144000,-105.0
145000,-112.0
146000,-192.0
147000,-118.0
148000,-24.0
149000,-113.0
150000,-191.0
151000,-75.0
152000,54.0
153000,-45.0
154000,28.0
155000,61.0
156000,-21.0
157000,-40.0
158000,58.0
159000,163.0
160000,86.0
161000,-94.0
162000,53.0
163000,27.0
164000,216.0
165000,120.0
166000,132.0
167000,91.0
168000,179.0
169000,220.0
170000,161.0
171000,80.0
172000,205.0
173000,111.0
174000,113.0
175000,119.0
176000,59.0
177000,208.0
178000,140.0
179000,179.0
180000,263.0
181000,80.0
182000,309.0
183000,286.0
184000,398.0
185000,328.0
186000,152.0
187000,486.0
188000,453.0
189000,423.0
190000,237.0
191000,400.0
192000,466.0
193000,379.0
194000,483.0
195000,435.0
196000,309.0
197000,410.0
198000,467.0
199000,512.0
200000,307.0
201000,463.0
202000,401.0
203000,517.0
204000,511.0
205000,486.0
