step,reward
1000,-1810.0
2000,-2086.0
3000,-2050.0
4000,-2092.0
5000,-1996.0
6000,-1986.0
7000,-2008.0
8000,-1970.0
9000,-1934.0
10000,-2014.0
11000,-2154.0
12000,-2078.0
13000,-1846.0
14000,-2032.0
15000,-1906.0
16000,-2010.0
17000,-1934.0
18000,-1964.0
19000,-1876.0
20000,-1906.0
21000,-1950.0
22000,-1950.0
23000,-1878.0
24000,-1958.0
25000,-1984.0
26000,-1946.0
27000,-1942.0
28000,-1988.0
29000,-1884.0
30000,-1846.0
31000,-1964.0
32000,-1914.0
33000,-1908.0
34000,-2010.0
35000,-2020.0
36000,-1916.0
37000,-1862.0
38000,-1770.0
39000,-1832.0
40000,-1918.0
41000,-1908.0
42000,-1856.0
43000,-1814.0
44000,-1932.0
45000,-1824.0
46000,-1876.0
47000,-1802.0
48000,-1834.0
49000,-1822.0
50000,-1872.0
51000,-1850.0
52000,-1822.0
53000,-1852.0
54000,-1876.0
55000,-1870.0
56000,-1826.0
57000,-1942.0
58000,-1818.0
59000,-1986.0
60000,-1784.0
61000,-1810.0
62000,-1742.0
63000,-1858.0
64000,-1792.0
65000,-1748.0
66000,-1794.0
67000,-1760.0
68000,-1752.0
69000,-1802.0
70000,-1838.0
71000,-1772.0
72000,-1934.0
73000,-1738.0
74000,-1672.0
75000,-1742.0
76000,-1834.0
77000,-1740.0
78000,-1736.0
79000,-1814.0
80000,-1920.0
81000,-1592.0
82000,-1818.0
83000,-1724.0
84000,-1750.0
85000,-1740.0
86000,-1742.0
87000,-1854.0
88000,-1816.0
89000,-1698.0
90000,-1704.0
91000,-1862.0
92000,-1688.0
93000,-1794.0
94000,-1802.0
95000,-1872.0
96000,-1824.0
97000,-1686.0
98000,-1794.0
99000,-1604.0
100000,-1744.0
101000,-1748.0
102000,-1650.0
103000,-1742.0
104000,-1676.0
105000,-1764.0
106000,-1716.0
107000,-1776.0
108000,-1776.0
109000,-1778.0
110000,-1736.0
111000,-1692.0
112000,-1652.0
113000,-1722.0
114000,-1764.0
115000,-1720.0
116000,-1606.0
117000,-1732.0
118000,-1796.0
119000,-1734.0
120000,-1724.0
121000,-1710.0
122000,-1828.0
123000,-1726.0
124000,-1624.0
125000,-1654.0
126000,-1814.0
127000,-1696.0
128000,-1638.0
129000,-1770.0
130000,-1682.0
131000,-1652.0
132000,-1660.0
133000,-1768.0
134000,-1820.0
135000,-1572.0
136000,-1664.0
137000,-1842.0
138000,-1668.0
139000,-1744.0
140000,-1654.0
141000,-1790.0
142000,-1664.0
143000,-1682.0
144000,-1736.0
145000,-1710.0
146000,-1676.0
147000,-1712.0
148000,-1694.0
149000,-1712.0
150000,-1770.0
151000,-1736.0
152000,-1574.0
153000,-1672.0
154000,-1580.0
155000,-1738.0
156000,-1650.0
157000,-1720.0
158000,-1666.0
159000,-1646.0
160000,-1652.0
161000,-1698.0
162000,-1904.0
163000,-1680.0
164000,-1642.0
165000,-1556.0
166000,-1586.0
167000,-1644.0
168000,-1562.0
169000,-1670.0
170000,-1596.0
171000,-1676.0
172000,-1606.0
173000,-1600.0
174000,-1660.0
175000,-1654.0
176000,-1692.0
177000,-1726.0
178000,-1552.0
179000,-1556.0
180000,-1606.0
181000,-1690.0
182000,-1636.0
183000,-1538.0
184000,-1894.0
185000,-1656.0
186000,-1660.0
187000,-1604.0
188000,-1512.0
189000,-1596.0
190000,-1588.0
191000,-1540.0
192000,-1574.0
193000,-1502.0
